program,time,threads
./sin/sinx-pv 172635172,8.469526529312134,1
./sin/sinx-pv 172635172,8.841280937194824,1
./sin/sinx-pv 172635172,9.097737073898315,1
./sin/sinx-pv 172635172,9.007905960083008,1
./sin/sinx-pv 172635172,9.565419435501099,1
./sin/sinx-pv 172635172,9.03731632232666,1
./sin/sinx-pv 172635172,8.334321022033691,1
./sin/sinx-pv 172635172,8.40742301940918,1
./sin/sinx-pv 172635172,5.306443452835083,2
./sin/sinx-pv 172635172,5.125270366668701,2
./sin/sinx-pv 172635172,5.082882404327393,2
./sin/sinx-pv 172635172,6.269310474395752,2
./sin/sinx-pv 172635172,5.637944936752319,2
./sin/sinx-pv 172635172,5.764615535736084,2
./sin/sinx-pv 172635172,5.130839109420776,2
./sin/sinx-pv 172635172,5.423264741897583,2
./sin/sinx-pv 172635172,4.623163461685181,3
./sin/sinx-pv 172635172,4.271220684051514,3
./sin/sinx-pv 172635172,4.353374719619751,3
./sin/sinx-pv 172635172,4.133022785186768,3
./sin/sinx-pv 172635172,4.1913206577301025,3
./sin/sinx-pv 172635172,4.26723313331604,3
./sin/sinx-pv 172635172,4.27401876449585,3
./sin/sinx-pv 172635172,4.241883039474487,3
./sin/sinx-pv 172635172,3.694369077682495,4
./sin/sinx-pv 172635172,3.8485159873962402,4
./sin/sinx-pv 172635172,3.755445957183838,4
./sin/sinx-pv 172635172,3.953650951385498,4
./sin/sinx-pv 172635172,3.948502779006958,4
./sin/sinx-pv 172635172,3.2901811599731445,4
./sin/sinx-pv 172635172,3.9047677516937256,4
./sin/sinx-pv 172635172,3.8239917755126953,4
./sin/sinx-pv 172635172,3.5458126068115234,5
./sin/sinx-pv 172635172,3.437934398651123,5
./sin/sinx-pv 172635172,3.5276997089385986,5
./sin/sinx-pv 172635172,3.811490058898926,5
./sin/sinx-pv 172635172,3.389244556427002,5
./sin/sinx-pv 172635172,3.9797749519348145,5
./sin/sinx-pv 172635172,3.527233839035034,5
./sin/sinx-pv 172635172,3.864370107650757,5
./sin/sinx-pv 172635172,3.1685831546783447,6
./sin/sinx-pv 172635172,3.3914361000061035,6
./sin/sinx-pv 172635172,3.4988293647766113,6
./sin/sinx-pv 172635172,3.40967059135437,6
./sin/sinx-pv 172635172,3.5596506595611572,6
./sin/sinx-pv 172635172,3.1665475368499756,6
./sin/sinx-pv 172635172,2.7980549335479736,6
./sin/sinx-pv 172635172,3.207942247390747,6
./sin/sinx-pv 172635172,3.3821585178375244,7
./sin/sinx-pv 172635172,2.941976308822632,7
./sin/sinx-pv 172635172,2.5316672325134277,7
./sin/sinx-pv 172635172,2.9820940494537354,7
./sin/sinx-pv 172635172,3.362992525100708,7
./sin/sinx-pv 172635172,2.9946229457855225,7
./sin/sinx-pv 172635172,3.320446491241455,7
./sin/sinx-pv 172635172,2.99237322807312,7
./sin/sinx-pv 172635172,2.9839766025543213,8
./sin/sinx-pv 172635172,2.8205859661102295,8
./sin/sinx-pv 172635172,2.836517095565796,8
./sin/sinx-pv 172635172,2.9376018047332764,8
./sin/sinx-pv 172635172,3.2362210750579834,8
./sin/sinx-pv 172635172,2.807751417160034,8
./sin/sinx-pv 172635172,2.662346839904785,8
./sin/sinx-pv 172635172,2.8078784942626953,8
./sin/sinx-pv 172635172,2.8261964321136475,9
./sin/sinx-pv 172635172,2.640376091003418,9
./sin/sinx-pv 172635172,2.0984084606170654,9
./sin/sinx-pv 172635172,2.792790651321411,9
./sin/sinx-pv 172635172,2.4254648685455322,9
./sin/sinx-pv 172635172,2.994654655456543,9
./sin/sinx-pv 172635172,2.6495814323425293,9
./sin/sinx-pv 172635172,2.5802156925201416,9
./sin/sinx-pv 172635172,2.477113962173462,10
./sin/sinx-pv 172635172,2.456627368927002,10
./sin/sinx-pv 172635172,2.336559534072876,10
./sin/sinx-pv 172635172,2.3768842220306396,10
./sin/sinx-pv 172635172,2.246454954147339,10
./sin/sinx-pv 172635172,2.317075252532959,10
./sin/sinx-pv 172635172,2.3062984943389893,10
